...1,univ.name,campus,campus02,province,city,city_name,district,citycode,adcode,lng,lat,est.time,area_ha,i,SHI_D_ID,dem_mean,map_mean,mat_mean,wet_area,wet_num,gdp_mean,pd_mean,ul_mean
1,浙江农林大学,ZAFU,zafu,浙江省,杭州市,杭州市,临安区,571,330112,119.727158,30.257231,2003,226.67,161,1348,277.134237028853,1827.42874509977,16.41108443818,792.9315,1,2790.71359471348,551.5979370117187,0.06817109949824099
2,江西农业大学,JXNYU,jxnyu,江西省,南昌市,南昌市,青山湖区,791,360111,115.835442,28.759221,1905,1066.67,48,2183,39.8565285379202,1889.22247648903,18.5389550679206,982.1178,0,2090.09162983144,779.5726440429687,0.0485165654917237
3,武汉大学,WHU,whu,湖北省,武汉市,武汉市,武昌区,27,420106,114.36434,30.53727,1893,346.33,174,1228,39.5413006688694,1487.00532564742,17.2013636754711,1194.4359,5,4282.19400797163,1320.6734375,0.0980880840195116
4,江南大学,JNDX,jndx,江苏省,无锡市,无锡市,滨湖区,510,320211,120.272597,31.482903,1958,216.67,146,993,19.2458432304038,1191.61326707683,16.4109717621076,941.1786,3,9409.05753348856,1483.851513671875,0.2752856113241462
5,浙江大学,ZJU,zju,浙江省,杭州市,杭州市,西湖区,571,330106,120.085686,30.302415,2002,390.4,161,1348,277.134237028853,1827.42874509977,16.41108443818,792.9315,1,2790.71359471348,551.5979370117187,0.06817109949824099
6,华中农业大学,HZAU,hzau,湖北省,武汉市,武汉市,洪山区,27,420111,114.333112,30.487087,1898,495,174,1228,39.5413006688694,1487.00532564742,17.2013636754711,1194.4359,5,4282.19400797163,1320.6734375,0.0980880840195116
7,贵州大学,GuiZU,guizu,贵州省,贵阳市,贵阳市,花溪区,851,520111,106.672804,26.44434,2004,309.17,269,2941,1191.7699635004,1210.48323193916,14.8991539923955,83.0826,4,1571.27873237857,540.0748840332031,0.03290724048942444
8,四川大学,SCU,scu,四川省,成都市,成都市,武侯区,28,510107,104.084176,30.631245,1896,470,135,1425,829.990590248075,1232.12792694064,15.3816407914764,133.1892,1,4073.8870316201,1172.703759765625,0.09115392316370206
9,西南大学,SWU,swu,重庆市,重庆市,重庆市,北碚区,23,500109,106.4247,29.820475,1906,556.47,293,1649,546.767114236496,1310.7526596682,17.2196145809733,1092.1662,22,1734.96189151623,593.0087158203125,0.02842595428123667
10,华侨大学,HQU,hqu,福建省,厦门市,厦门市,集美区,592,350211,118.087873,24.60393,2006,132,52,3658,155.584810126582,1597.22199501247,20.813940149626,46.305,0,12426.2479487042,2424.100146484375,0.25264915804246185
11,广州大学,GZU,gzu,广东省,广州市,广州市,番禺区,20,440113,113.372656,23.040937,2004,131.71,116,3945,109.559038441173,2227.78538562664,22.1747261174409,417.8835,4,11409.5275366756,1912.4069580078128,0.2431874643999953
12,扬州大学,YZU,yzu,江苏省,扬州市,扬州市,邗江区,32,225009,119.3899,32.3991,1952,400,136,966,6.7443578169881,1071.1424262367,15.5050400350993,923.9751,2,4047.60539845694,710.15557861328125,0.06964991801241516
13,曲阜师范大学,QFNU,qfnu,山东省,济宁市,济宁市,曲阜市,537,370881,116.967594,35.594135,1956,131.4,192,908,68.4607430774623,715.230106721588,14.2792766647944,872.9703,4,1911.5691639616,738.1552978515625,0.0589908653741508
14,北京大学,PKU,pku,北京市,北京市,北京市,海淀区,10,110108,116.31045399999999,39.992734,1898,195,41,292,365.723123618241,595.638209266007,10.8944800384416,224.3493,2,6020.96950239213,1236.15224609375,0.1939137573076416
15,安徽大学,AHDX,ahdx,安徽省,合肥市,合肥市,蜀山区,551,340104,117.18488,31.76754,2004,133.33,56,986,40.2855418223627,1170.22758112094,16.2492133726647,1133.8839,5,2179.25264366699,656.685693359375,0.06355167029822922
16,广西大学,GXDX,gxdx,广西壮族自治区,南宁市,南宁市,西乡塘区,771,450107,108.292834,22.842456,1928,265.5,46,3982,196.447556416077,1771.42817484389,21.6182247992864,365.2794,2,772.263852484061,309.1556396484375,0.02138019291793559
17,山东大学,SDDX,sddx,山东省,济南市,济南市,历城区,531,370112,117.060678,36.675572,1958,106.67,191,783,126.096485571498,672.962508614748,13.5010940730531,128.4255,5,3878.08138450155,860.8406494140625,0.1496031404407669
18,湖南科技大学,HNKJDX,hnkjdx,湖南省,湘潭市,湘潭市,湘潭县,732,430321,112.918821,27.9041,2003,200.31,207,2519,111.020978029766,1749.18462934947,18.0212254160363,109.35,1,1597.3945864929,561.69000244140625,0.02655004308637045
19,三峡大学,SXDX,sxdx,湖北省,宜昌市,宜昌市,西陵区,717,420502,111.314266,30.722403,2000,200,98,1231,661.813440842735,1500.03363456258,14.603675576101,426.9042,8,605.176697264376,197.62381896972656,0.00614234773427689
20,温州大学,WZU,wzu,浙江省,温州市,温州市,瓯海区,577,330304,120.700716,27.921456,2001,77.73,204,2175,358.971678943358,1956.84429118268,17.2632787750792,208.7649,0,2160.65292112774,847.4198486328125,0.05982000199373007
21,清华大学,QHU,qhu,北京市,北京市,北京市,海淀区,10,110108,116.329683,40.000119,1911,482.84,41,292,365.723123618241,595.638209266007,10.8944800384416,224.3493,2,6020.96950239213,1236.15224609375,0.1939137573076416
22,沈阳农业大学,SYAU,syau,辽宁省,沈阳市,沈阳市,沈河区,24,210103,123.567348,41.823548,1952,683.07,182,209,61.6446806535462,637.906704021421,8.54197203352014,200.1069,3,2121.54853460449,632.8485473632812,0.06574495062284494
23,山西农业大学,SXNYDX,sxnydx,山西省,太原市,太原市,小店区,351,140105,112.580313,37.776027,1950,239.2,86,712,1251.62529832936,539.166804002354,8.20790661173243,39.5109,0,1904.36619076234,612.8198608398437,0.08083129724714508
24,兰州大学,LZU,lzu,甘肃省,兰州市,兰州市,城关区,931,620102,103.859546,36.046674,1909,39.47,36,887,2096.5978404908,344.119487797214,7.22360951084114,31.8213,1,697.567174905481,276.8604705810547,0.02486505102302721
25,南京大学,NJU,nju,江苏省,南京市,南京市,鼓楼区,25,320106,118.77943,32.055015,1952,53.33,44,983,25.2693501655629,1182.78416454716,16.0170684507354,711.2943,1,6218.18724786983,1303.8192626953123,0.1549646645407115
26,同济大学,TONGJI,tongji,上海市,上海市,上海市,杨浦区,21,310110,121.501622,31.283465,1946,276,5,1002,4.86672040843746,1392.76821705426,16.5958021284983,582.3279,2,22473.3647475776,4394.816943359375,0.4511118398479232
27,东北林业大学,NFU,nfu,黑龙江省,哈尔滨市,哈尔滨市,香坊区,451,230110,126.637137,45.719341,1952,136,69,14,252.993101911301,660.226166984213,3.73629559063694,848.9997,12,487.881549990414,206.1146697998047,0.01361013381906033
28,深圳大学,SZDX,szdx,广东省,深圳市,深圳市,南山区,755,440305,113.932603,22.527539,1983,271,202,4061,86.8163921253515,2272.3677148847,22.5801886792453,44.5257,1,28388.4525204733,5494.451904296875,0.6663242709604258
29,郑州大学,ZZDX,zzdx,河南省,郑州市,郑州市,中原区,371,410102,113.53867,34.815952,2000,323,288,944,233.699332044296,684.109943555974,14.4817968015052,100.5894,1,5378.03836739364,1169.542041015625,0.16856426209784994
30,中国药科大学,ZGYKU,zgyku,江苏省,南京市,南京市,江宁区,25,320115,118.918221,31.902082,2012,140,44,983,25.2693501655629,1182.78416454716,16.0170684507354,711.2943,1,6218.18724786983,1303.8192626953123,0.1549646645407115
31,海南大学,HaiNU,hainu,海南省,海口市,海口市,美兰区,898,460108,110.33042,20.056894,1958,404.4,196,4590,42.0124567474048,2286.35478166727,24.4757668711657,67.1742,2,2651.38962887022,965.3290283203124,0.06961773340424753
32,青岛农业大学,QDNY,qdny,山东省,青岛市,青岛市,城阳区,532,370214,120.397571,36.321143,1951,426.7,321,785,57.9842197193278,702.901648592741,12.7928696796841,190.1295,14,4323.65134205242,799.3017944335937,0.09894831982225716
33,安徽农业大学,AHNYDX,ahnydx,安徽省,合肥市,合肥市,蜀山区,551,340104,117.258728,31.861002,1953,210,56,986,40.2855418223627,1170.22758112094,16.2492133726647,1133.8839,5,2179.25264366699,656.685693359375,0.06355167029822922
34,山西大学,SXU,sxu,山西省,太原市,太原市,小店区,351,140105,112.587733,37.800166,1954,80,86,712,1251.62529832936,539.166804002354,8.20790661173243,39.5109,0,1904.36619076234,612.8198608398437,0.08083129724714508
35,广西民族大学,GXMZU,gxmzu,广西壮族自治区,南宁市,南宁市,西乡塘区,771,450107,108.235227,22.843226,1952,240,46,3982,196.447556416077,1771.42817484389,21.6182247992864,365.2794,2,772.263852484061,309.1556396484375,0.02138019291793559
36,南开大学,NKU,nku,天津市,天津市,天津市,南开区,22,120104,117.167998,39.103412,1923,121.6,85,352,17.1544053819444,589.627586795674,12.9426237905521,931.3785,4,5269.29661841532,1287.0294677734375,0.17777593460785576
37,四川农业大学,SCAU,scau,四川省,雅安市,雅安市,雨城区,835,511802,102.999091,29.978594,1956,160,320,1704,2089.50138529738,1677.57888416683,8.95207056730583,107.3628,0,171.319708614082,99.63135528564452,7.062946951129597e-4
38,浙江中医药大学,ZCMU,zcmu,浙江省,杭州市,杭州市,富阳区,571,330111,119.890284,30.085099,2015,45.32,161,1348,277.134237028853,1827.42874509977,16.41108443818,792.9315,1,2790.71359471348,551.5979370117187,0.06817109949824099
39,厦门大学,XMDX,xmdx,福建省,厦门市,厦门市,翔安区,592,350213,118.30986,24.608698,2012,243,52,3658,155.584810126582,1597.22199501247,20.813940149626,46.305,0,12426.2479487042,2424.100146484375,0.25264915804246185
40,河南师范大学,HNNU,hnnu,河南省,新乡市,新乡市,牧野区,373,410711,113.915454,35.327248,1953,139.53,144,916,143.63172939495,647.247280441239,14.5634832414086,70.3485,0,1448.27567160814,690.01800537109375,0.05949943804753394
41,吉林大学,JLU,jlu,吉林省,长春市,长春市,朝阳区,431,220104,125.279415,43.823157,1946,150.22,305,27,200.806397447737,575.171290119949,5.62321946696184,339.5934,3,763.095512923929,374.5053405761719,0.03744579592314477
42,上海大学,SHU,shu,上海市,上海市,上海市,宝山区,21,310113,121.393502,31.316899,1999,100,5,1002,4.86672040843746,1392.76821705426,16.5958021284983,582.3279,2,22473.3647475776,4394.816943359375,0.4511118398479232
43,湖南食品药品学院,HFADVC,hfadvc,湖南省,长沙市,长沙市,岳麓区,731,430104,112.890576,28.121841,1979,24.41,306,2396,169.634987132683,1772.04832364774,17.6108915000958,189.0045,5,3127.0313945651,626.5217041015625,0.03856786258811588
44,云南大学,YNU,ynu,云南省,昆明市,昆明市,五华区,871,530102,102.702624,25.055376,1922,35.72,149,3198,2099.50198214347,1074.47902607927,15.1194636805658,404.9811,2,957.331355900462,310.2807373046875,0.0286750472599805
45,北京林业大学,BJFU,bjfu,北京市,北京市,北京市,海淀区,10,110108,116.345306,40.003177,1952,46.4,41,292,365.723123618241,595.638209266007,10.8944800384416,224.3493,2,6020.96950239213,1236.15224609375,0.1939137573076416
46,通化师范学院,THSFU,thsfu,吉林省,通化市,通化市,东昌区,435,220502,125.988416,41.746355,1929,49,280,183,530.739391605699,880.793572133575,5.44698552393489,92.3409,4,281.341197846925,150.09638366699218,0.00568449751761457
47,韶关大学,SGDX,sgdx,广东省,韶关市,韶关市,浈江区,751,440204,113.672094,24.773841,1958,171.4,323,3644,414.505713946775,2062.54473461799,19.2537440838405,148.3668,4,306.957392738112,155.67965087890624,0.00899834389114124
48,河南大学,HeNU,henu,河南省,开封市,开封市,龙亭区,378,410202,114.308908,34.817255,2005,123.27,121,941,68.1063649820258,682.029267742299,15.047393659032,42.6555,0,1461.03563650603,751.2968994140625,0.04046972691428621
49,西北师范大学,NNU,nnu,甘肃省,兰州市,兰州市,安宁区,931,620105,103.736922,36.09749,1988,100.93,36,887,2096.5978404908,344.119487797214,7.22360951084114,31.8213,1,697.567174905481,276.8604705810547,0.02486505102302721
50,海南师范大学,HNSFU,hnsfu,海南省,海口市,海口市,琼山区,898,460107,110.343215,19.996331,1999,22.29,196,4590,42.0124567474048,2286.35478166727,24.4757668711657,67.1742,2,2651.38962887022,965.3290283203124,0.06961773340424753
51,复旦大学,FDDX,fddx,上海市,上海市,上海市,杨浦区,21,310110,121.502871,31.297025,1952,92.23,5,1002,4.86672040843746,1392.76821705426,16.5958021284983,582.3279,2,22473.3647475776,4394.816943359375,0.4511118398479232
52,天津师范大学,TJSFDX,tjsfdx,天津市,天津市,天津市,南开区,22,120104,117.178054,39.077539,2005,233.33,85,352,17.1544053819444,589.627586795674,12.9426237905521,931.3785,4,5269.29661841532,1287.0294677734375,0.17777593460785576
53,广东环境保护工程职业学院,GDEPEVC,gdepevc,广东省,佛山市,佛山市,南海区,757,440605,112.910325,23.049248,2010,31.73,27,4019,26.0927332943698,1974.88134994808,22.8462201453791,443.1969,2,10401.3783138307,1985.858935546875,0.4268021035859172
54,西北农林科技大学,XBNLKJDX,xbnlkjdx,陕西省,咸阳市,咸阳市,杨陵区,910,610403,108.074439,34.284096,1999,383.06,67,934,887.942149820421,597.643974209479,12.7513032443927,34.1028,6,953.942029338574,497.6997924804688,0.02555095671728843
55,新疆师范大学,XJSFDX,xjsfdx,新疆维吾尔自治区,乌鲁木齐市,乌鲁木齐市,水磨沟区,991,650105,87.706406,43.802769,1978,152.27,20,37,1665.36053169734,389.79515175404,3.17725003284723,90.2367,3,818.603637763712,225.14808044433593,0.05313533072124531
56,湖南大学,HNDX,hndx,湖南省,长沙市,长沙市,岳麓区,731,430104,112.944703,28.178119,1903,241,306,2396,169.634987132683,1772.04832364774,17.6108915000958,189.0045,5,3127.0313945651,626.5217041015625,0.03856786258811588
57,浙江师范大学,ZJSFU,zjsfu,浙江省,金华市,金华市,婺城区,579,330702,119.641896,29.134284,1956,220,294,1902,298.411477724997,1781.48209190672,17.0447050754459,166.0563,1,1654.59466984868,499.16498413085935,0.052157474649656
58,赣南师范大学,GNSFU,gnsfu,江西省,赣州市,赣州市,章贡区,797,360702,114.886712,25.79591,1958,106.67,272,2745,370.435778385421,1921.60659631642,19.0193427220839,298.728,15,270.482617017622,216.31215209960936,0.00761647781142939
59,南昌大学,NCU,ncu,江西省,南昌市,南昌市,红谷滩区,791,360113,115.804087,28.660479,1993,284,48,2183,39.8565285379202,1889.22247648903,18.5389550679206,982.1178,0,2090.09162983144,779.5726440429687,0.0485165654917237
60,中国科学技术大学,ZGKJJSU,zgkjjsu,安徽省,合肥市,合肥市,包河区,551,340111,117.269882,31.837084,1958,145,56,986,40.2855418223627,1170.22758112094,16.2492133726647,1133.8839,5,2179.25264366699,656.685693359375,0.06355167029822922
61,河北师范大学,HBSFU,hbsfu,河北省,石家庄市,石家庄市,裕华区,311,130108,114.513526,37.997898,2011,121.93,237,678,257.77080803993,552.498621319114,12.9300211365711,120.5334,0,1707.20601735661,724.3600952148438,0.07661138746691021
62,华东师范大学,ECNU,ecnu,上海市,上海市,上海市,闵行区,21,310112,121.449171,31.033624,2006,121.43,5,1002,4.86672040843746,1392.76821705426,16.5958021284983,582.3279,2,22473.3647475776,4394.816943359375,0.4511118398479232
63,首都师范大学,CNU,cnu,北京市,北京市,北京市,海淀区,10,110108,116.308687,39.936888,1954,103.65,41,292,365.723123618241,595.638209266007,10.8944800384416,224.3493,2,6020.96950239213,1236.15224609375,0.1939137573076416
64,华南农业大学,HNNYU,hnnyu,广东省,广州市,广州市,天河区,20,440106,113.357083,23.157434,1909,297.13,116,3945,109.559038441173,2227.78538562664,22.1747261174409,417.8835,4,11409.5275366756,1912.4069580078128,0.2431874643999953
65,河南城建学院,HNUOUC,hnuouc,河南省,平顶山市,平顶山市,新华区,375,410402,113.152048,33.777419,1983,115.33,113,959,246.602923778942,830.355570578691,14.6692175950965,136.7208,3,1402.58023618014,624.5589477539063,0.06729520578029566
66,中山大学,ZSDX,zsdx,广东省,广州市,广州市,海珠区,20,440105,113.296798,23.096091,1924,123.9,116,3945,109.559038441173,2227.78538562664,22.1747261174409,417.8835,4,11409.5275366756,1912.4069580078128,0.2431874643999953
67,广东海洋大学,GDOU,gdou,广东省,湛江市,湛江市,麻章区,759,440811,110.299811,21.152146,1935,166.67,209,4329,36.7085443037975,1860.49730982697,23.8336238981391,498.4749,1,981.478079871392,575.4107482910156,0.01984531152558375
68,宁夏大学,NXU,nxu,宁夏回族自治区,银川市,银川市,西夏区,951,640105,106.143117,38.503251,1958,205.65,301,697,1275.66807289909,221.300811834747,9.77651993505325,107.6175,5,932.213208577692,272.5526092529297,0.04043887923593384
69,大理大学,DLDX,dldx,云南省,大理白族自治州,大理白族自治州,大理市,872,532901,100.150807,25.67437,2001,176.54,82,3114,2240.30338312269,1077.36791958757,14.2436690215761,358.7607,2,174.31145344402,123.21638793945311,0.00317629633475481
70,聊城大学,LCDX,lcdx,山东省,聊城市,聊城市,东昌府区,635,371502,116.01644,36.428507,1970,200,244,842,36.3959470575039,569.069797745623,14.3952074506356,53.4807,3,1514.75061136971,674.5087158203125,0.08144617349487636
72,玉溪师范学院,YXSFXY,yxsfxy,云南省,玉溪市,玉溪市,红塔区,877,530402,102.563431,24.339297,1978,67.6,223,3778,1666.1048173896,980.733992570502,17.8995212682468,324.4581,3,497.309617404367,157.57078857421874,0.00906850359769465
73,河南农业大学,HNNYDX,hnnydx,河南省,郑州市,郑州市,金水区,371,410105,113.826452,34.799479,1902,264.83,288,944,233.699332044296,684.109943555974,14.4817968015052,100.5894,1,5378.03836739364,1169.542041015625,0.16856426209784994
74,成都理工大学,CUDT,cudt,四川省,成都市,成都市,成华区,28,510108,104.144264,30.673962,1956,232.47,135,1425,829.990590248075,1232.12792694064,15.3816407914764,133.1892,1,4073.8870316201,1172.703759765625,0.09115392316370206
75,信阳师范大学,XYSFXY,xysfxy,河南省,信阳市,信阳市,浉河区,376,411502,114.041008,32.138051,1975,206.67,31,988,116.988774959525,1203.25164987309,15.6597107914776,411.2037,4,577.135283900365,328.92583618164065,0.0235733165086091
76,内蒙古师范大学,NMGSFU,nmgsfu,内蒙古自治区,呼和浩特市,呼和浩特市,赛罕区,471,150105,111.696791,40.804514,1954,222.8,64,294,1380.76728463153,448.289322085423,5.43623651010795,58.0131,2,674.715803786688,168.4626495361328,0.01769907935409356
77,南京林业大学,NJLYDX,njlydx,江苏省,南京市,南京市,玄武区,25,320102,118.813727,32.077648,1902,83.8,44,983,25.2693501655629,1182.78416454716,16.0170684507354,711.2943,1,6218.18724786983,1303.8192626953123,0.1549646645407115
78,山东农业大学,SDNYDX,sdnydx,山东省,泰安市,泰安市,泰山区,538,370902,117.118231,36.194317,1958,343,187,880,162.823672510695,759.69003313333906,13.2670771021761,233.3601,3,2162.43564678213,716.0704833984375,0.06289102487479639
79,东北农业大学,DBNYU,dbnyu,黑龙江省,哈尔滨市,哈尔滨市,香坊区,451,230110,126.727556,45.744028,1948,501.5,69,14,252.993101911301,660.226166984213,3.73629559063694,848.9997,12,487.881549990414,206.1146697998047,0.01361013381906033
80,延安大学,YADX,yadx,陕西省,延安市,延安市,宝塔区,911,610602,109.463057,36.619966,1941,186.67,119,838,1242.1540302575,588.133695165622,9.57705722172489,39.4119,1,154.582432211027,59.33977508544922,0.00155321235785154
81,太原师范学院,TYNU,tynu,山西省,晋中市,晋中市,榆次区,354,140702,112.707378,37.750771,1999,125.44,153,758,1181.51151174588,609.126081881097,8.9911323271909,22.3911,6,336.330460742458,199.2776611328125,0.0217747929846842
82,齐齐哈尔大学,QQHERU,qqheru,黑龙江省,齐齐哈尔市,齐齐哈尔市,建华区,452,230203,123.932676,47.352064,1952,139,339,8,208.229759917833,493.61280296276,3.22580961525276,670.5441,5,131.986226284001,130.49217529296874,0.00820287648351827
83,新疆大学,XJU,xju,新疆维吾尔自治区,乌鲁木齐市,乌鲁木齐市,天山区,991,650102,87.617052,43.766273,1960,57.53,20,37,1665.36053169734,389.79515175404,3.17725003284723,90.2367,3,818.603637763712,225.14808044433593,0.05313533072124531
84,内蒙古科技大学,NMGKJU,nmgkju,内蒙古自治区,包头市,包头市,昆都仑区,472,150203,109.832967,40.620548,2003,113,40,260,1396.81733854246,302.053888694435,5.20697351534247,101.5137,2,436.361544327041,95.30165405273438,0.01939948099943219
85,云南师范大学,YNSFDX,ynsfdx,云南省,昆明市,昆明市,呈贡区,871,530114,102.853358,24.86154,1946,202,149,3198,2099.50198214347,1074.47902607927,15.1194636805658,404.9811,2,957.331355900462,310.2807373046875,0.0286750472599805
86,云南农业大学,YNNYDX,ynnydx,云南省,昆明市,昆明市,盘龙区,871,530103,102.748564,25.129485,1958,200.33,149,3198,2099.50198214347,1074.47902607927,15.1194636805658,404.9811,2,957.331355900462,310.2807373046875,0.0286750472599805
87,盐城工学院,YCGXY,ycgxy,江苏省,盐城市,盐城市,亭湖区,515,320902,120.198678,33.382675,1958,151.7,232,943,1.29243278203825,1051.62665453188,14.858979744236,1046.5731,2,1392.6546691605,475.94384765625,0.03050180366374973
88,淮阴师范学院,HYSFXY,hysfxy,江苏省,淮安市,淮安市,淮阴区,517,320804,119.005861,33.63881,1997,133.33,201,953,14.8026711185309,1021.53596835127,15.1788331313708,1515.915,2,1217.62665798782,500.2441467285156,0.0388976276559119
90,延边大学,YBDX,ybdx,吉林省,延边朝鲜族自治州,延边朝鲜族自治州,延吉市,1433,222401,129.488053,42.910955,1949,196,120,29,646.778683070572,749.027009417672,3.73645393467129,128.9043,5,82.1443531176629,52.44253082275391,0.00434161991623574
91,贵州工程应用技术学院,gues,gues,贵州省,毕节市,毕节地区,七星关区,857,520502,105.302488,27.30539,1938,73.33,175,2686,1684.36654520307,1046.73536353038,12.9281341522364,100.908,4,234.060974005307,243.55716552734376,0.00127949600571946
93,华北理工大学,NCUST,ncust,河北省,唐山市,唐山市,曹妃甸区,315,130209,118.592945,39.20431,1958,300,70,312,64.4400820665859,625.131122027139,11.7553450707651,668.8818,0,2130.08818239317,579.0300659179687,0.08738662105778588
94,重庆大学,CQU,cqu,重庆市,重庆市,重庆市,沙坪坝区,23,500106,106.465385,29.565275,1929,353.33,293,1649,546.767114236496,1310.7526596682,17.2196145809733,1092.1662,22,1734.96189151623,593.0087158203125,0.02842595428123667
95,中国科学院东北地理与农业生态研究所,NIOFGAGGCAS,niofgaggcas,吉林省,长春市,长春市,宽城区,431,220103,125.403364,44.001076,2002,3.5,305,27,200.806397447737,575.171290119949,5.62321946696184,339.5934,3,763.095512923929,374.5053405761719,0.03744579592314477
96,西北工业大学,NPU,npu,陕西省,西安市,西安市,碑林区,29,610103,108.914589,34.243329,1957,313.33,266,955,1040.18414288539,830.753377427526,12.0041021671827,39.5667,2,2625.06291006796,834.4872802734375,0.08206228558688265
97,河南科技大学,HAUST,haust,河南省,洛阳市,洛阳市,洛龙区,379,410311,112.421504,34.602275,1952,273.33,190,947,635.416844768177,748.429806259315,12.8176276080477,177.2388,1,1330.90980985074,436.53306884765624,0.02768005125205551
98,武汉理工大学,WUT,wut,湖北省,武汉市,武汉市,洪山区,27,420111,114.350233,30.521252,1898,266.67,174,1228,39.5413006688694,1487.00532564742,17.2013636754711,1194.4359,5,4282.19400797163,1320.6734375,0.0980880840195116
99,中国人民大学,ruc,ruc,北京市,北京市,北京市,海淀区,10,110108,116.312503,39.971025,1937,69.65,41,292,365.723123618241,595.638209266007,10.8944800384416,224.3493,2,6020.96950239213,1236.15224609375,0.1939137573076416
100,北方民族大学,nmu,nmu,宁夏回族自治区,银川市,银川市,西夏区,951,640105,106.107882,38.49765,1984,103.47,301,697,1275.66807289909,221.300811834747,9.77651993505325,107.6175,5,932.213208577692,272.5526092529297,0.04043887923593384
101,上饶师范学院,snu,snu,江西省,上饶市,上饶市,信州区,793,361102,117.972183,28.418214,1958,113.33,6,2027,214.515986257699,2215.31545559782,18.0232164709774,1046.8224,4,370.913980392198,297.92706298828125,0.00822231859064701
102,承德医学院,CDYXY,cdyxy,河北省,承德市,承德市,双桥区,314,130802,117.956531,41.033113,1945,74.89,137,251,941.836125005736,532.957289282678,5.91673641535346,49.8573,4,161.840935520733,87.44341735839843,0.00348445048124435
103,重庆邮电大学,CQYDDX,cqyddx,重庆市,重庆市,重庆市,南岸区,23,500108,106.606747,29.532703,1950,253.33,293,1649,546.767114236496,1310.7526596682,17.2196145809733,1092.1662,22,1734.96189151623,593.0087158203125,0.02842595428123667
104,吉林农业大学,JLNYU,jlnyu,吉林省,长春市,长春市,南关区,431,220102,125.411261,43.812239,1948,347.62,305,27,200.806397447737,575.171290119949,5.62321946696184,339.5934,3,763.095512923929,374.5053405761719,0.03744579592314477
105,南阳师范学院,NJYSFXY,njysfxy,河南省,南阳市,南阳市,卧龙区,377,411303,112.490729,32.974942,1951,164,50,972,307.237559662841,934.707270013569,14.9016797829037,558.2988,3,624.962093243666,389.31060180664065,0.01916569991807382
106,内蒙古农业大学,NMGNYU,nmgnyu,内蒙古自治区,呼和浩特市,呼和浩特市,赛罕区,471,150105,111.700676,40.805289,1952,155.03,64,294,1380.76728463153,448.289322085423,5.43623651010795,58.0131,2,674.715803786688,168.4626495361328,0.01769907935409356
107,青海大学,QHDX,qhdx,青海省,西宁市,西宁市,城北区,971,630105,101.749406,36.728189,1958,215.99,265,841,3122.38680851064,678.46567788899,0.776524112829879,6.4233,1,610.244640088834,292.77529296875,0.02082335745310348
108,上海交通大学,SHJTU,shjtu,上海市,上海市,上海市,闵行区,21,310112,121.436248,31.023988,1896,300,5,1002,4.86672040843746,1392.76821705426,16.5958021284983,582.3279,2,22473.3647475776,4394.816943359375,0.4511118398479232
109,苏州大学,SUZDX,suzdx,江苏省,苏州市,苏州市,姑苏区,512,320508,120.641106,31.304279,1900,305.73,249,989,5.69227518593644,1220.41091185925,16.554127897141,2809.5876,5,7488.22922719794,1320.97861328125,0.2074273769207752
110,陕西师范大学,SXSFDX,sxsfdx,陕西省,西安市,西安市,雁塔区,29,610113,108.951309,34.204039,1944,186.67,266,955,1040.18414288539,830.753377427526,12.0041021671827,39.5667,2,2625.06291006796,834.4872802734375,0.08206228558688265
111,塔里木大学,TLMDX,tlmdx,新疆维吾尔自治区,阿拉尔市,阿克苏地区,NA,997,659002,81.29216,40.546227,1958,259.87,313,189,1506.12727488771,197.054047148583,8.63512142715644,297.9945,4,25.5282865083485,18.648987579345704,0.00200719120452903
112,文山学院,WSXY,wsxy,云南省,文山壮族苗族自治州,文山壮族苗族自治州,麻栗坡县,876,532624,104.249087,23.355335,1947,58.33,143,3891,1364.45631408086,1239.6630113055,17.7340674835908,80.5896,1,111.612519937016,111.7846176147461,0.00174524533337833
113,西藏大学,XZDX,xzdx,西藏自治区,拉萨市,拉萨市,城关区,891,540102,91.17918,29.644675,1951,93.33,140,1139,4824.31965944272,776.112007316645,-1.92520358816304,966.3984,0,42.814919908491,18.87154197692871,0.00250283362581703
114,中南大学,ZNDX,zndx,湖南省,长沙市,长沙市,岳麓区,731,430104,112.93061,28.168544,2000,317,306,2396,169.634987132683,1772.04832364774,17.6108915000958,189.0045,5,3127.0313945651,626.5217041015625,0.03856786258811588
